version, importance, name, nameCode
1, 50, A-line, a-line
1, 50, Backless, backless
1, 50, Baggy, baggy
1, 50, Best, best
1, 50, Boot-cut, boot-cut
1, 50, Brief, brief
1, 50, Button-down, button-down
1, 50, Button-through, button-through
1, 50, Casual, casual
1, 50, Clingy, clingy
1, 50, Close-fitting, close-fitting
1, 50, Comfortable, comfortable
1, 50, Conservative, conservative
1, 50, Cool, cool
1, 50, Décolleté, décolleté
1, 50, Designer, designer
1, 50, Double-breasted, double-breasted
1, 50, Dressy, dressy
1, 50, Drip-dry, drip-dry
1, 50, Easy-care, easy-care
1, 50, Flame-retardant, flame-retardant
1, 50, Formal, formal
1, 50, Full, full
1, 50, Full-length, full-length
1, 50, Heavy, heavy
1, 50, Homespun, homespun
1, 50, Hooded, hooded
1, 50, Ill-fitting, ill-fitting
1, 50, Informal, informal
1, 50, Itchy, itchy
1, 50, Jackie-o, jackie-o
1, 50, Knee-length, knee-length
1, 50, Light, light
1, 50, Lined, lined
1, 50, Long, long
1, 50, Loose, loose
1, 50, Loose-fitting, loose-fitting
1, 50, Low, low
1, 50, Low-cut, low-cut
1, 50, Machine-washable, machine-washable
1, 50, Made-to-measure, made-to-measure
1, 50, Modest, modest
1, 50, Off-the-peg, off-the-peg
1, 50, Off-the-rack, off-the-rack
1, 50, One-piece, one-piece
1, 50, Open-necked, open-necked
1, 50, Oversized, oversized
1, 50, Padded, padded
1, 50, Peaked, peaked
1, 50, Permanent-press, permanent-press
1, 50, Plunging, plunging
1, 50, Plus-size, plus-size
1, 50, Preshrunk, preshrunk
1, 50, Prim, prim
1, 50, Prissy, prissy
1, 50, Raglan, raglan
1, 50, Rainproof, rainproof
1, 50, Ready-to-wear, ready-to-wear
1, 50, Revealing, revealing
1, 50, Reversible, reversible
1, 50, Rolled-up, rolled-up
1, 50, Roomy, roomy
1, 50, Ruched, ruched
1, 50, Sartorial, sartorial
1, 50, Scanty, scanty
1, 50, Seamed, seamed
1, 50, Seamless, seamless
1, 50, Sensible, sensible
1, 50, Single-breasted, single-breasted
1, 50, Skimpy, skimpy
1, 50, Skinny, skinny
1, 50, Skintight, skintight
1, 50, Sleeveless, sleeveless
1, 50, Slimming, slimming
1, 50, Sloppy, sloppy
1, 50, Smart, smart
1, 50, Snug, snug
1, 50, Sporty, sporty
1, 50, Starched, starched
1, 50, Straight, straight
1, 50, Strapless, strapless
1, 50, Strappy, strappy
1, 50, Stretch, stretch
1, 50, Stretchy, stretchy
1, 50, Tailored, tailored
1, 50, Tailor-made, tailor-made
1, 50, Thermal, thermal
1, 50, Threadbare, threadbare
1, 50, Tight, tight
1, 50, Tight-fitting, tight-fitting
1, 50, Unfashionable, unfashionable
1, 50, Unlined, unlined
1, 50, Voluminous, voluminous
1, 50, Washable, washable
1, 50, Waterproof, waterproof
1, 50, Wearable, wearable
1, 50, Weatherproof, weatherproof
1, 50, Wraparound, wraparound
1, 50, Zippered, zippered
1, 50, Zip-up, zip-up
1, 50, Monogrammed, monogrammed
1, 50, Pleated, pleated
1, 50, Two-piece, two-piece
1, 50, V-necked, v-necked
1, 50, Flowing, flowing
1, 50, Flowy, flowy
1, 50, Colorful, colorful
1, 50, Cropped, cropped
1, 50, Crop, crop
1, 50, Lace, lace
1, 50, Denim, denim
1, 50, Laced, laced
1, 50, Leather, leather
1, 50, Fringe, fringe
1, 50, Matching, matching
1, 50, Set, set
